Color	Gene	Number
turquoise	0610005G16Rik	1
floralwhite	0610005I03Rik	44
skyblue3	0610006F12Rik	37
sienna3	0610007P14Rik	35
pink	0610008A24Rik	8
black	0610009B22Rik	7
blue	0610009I12Rik	2
green	0610009L18Rik	5
skyblue3	0610009O20Rik	37
blue	0610010F05Rik	2
turquoise	0610010K14Rik	1
turquoise	0610011F06Rik	1
grey60	0610012G03Rik	17
salmon	0610025J13Rik	13
turquoise	0610030E20Rik	1
blue	0610037L13Rik	2
green	0610040B10Rik	5
green	0610040J01Rik	5
brown	1010001N08Rik	3
yellow	1110001J03Rik	4
cyan	1110002L01Rik	14
greenyellow	1110004E09Rik	11
royalblue	1110004F10Rik	20
brown	1110006O24Rik	3
yellow	1110007C09Rik	4
turquoise	1110008E08Rik	1
darkmagenta	1110008F13Rik	34
blue	1110008L16Rik	2
turquoise	1110008P14Rik	1
green	1110012L19Rik	5
green	1110017D15Rik	5
blue	1110020A21Rik	2
cyan	1110020C17Rik	14
orange	1110032A03Rik	25
black	1110034G24Rik	7
yellow	1110037F02Rik	4
salmon	1110038F14Rik	13
saddlebrown	1110051M20Rik	29
yellow	1110057K04Rik	4
saddlebrown	1110058L19Rik	29
turquoise	1110059E24Rik	1
blue	1110059G10Rik	2
black	1110065P20Rik	7
salmon4	1190002N15Rik	52
yellow	1190005I06Rik	4
brown	1190007I07Rik	3
tan	1190028D05Rik	12
green	1200007C13Rik	5
brown	1200014J11Rik	3
greenyellow	1200016E24Rik	11
plum1	1300017J02Rik	38
magenta	1500011B03Rik	9
tan	1500011K16Rik	12
pink	1500012K07Rik	8
tan	1500015L24Rik	12
salmon	1500015O10Rik	13
purple	1500026H17Rik	10
green	1500035N22Rik	5
blue	1520401A03Rik	2
turquoise	1600002D24Rik	1
green	1600002H07Rik	5
tan	1600002K03Rik	12
lightcyan	1600012H06Rik	16
darkred	1600012P17Rik	21
turquoise	1600014C10Rik	1
lightcyan	1600014C23Rik	16
turquoise	1600014K23Rik	1
turquoise	1600020E01Rik	1
blue	1600022D10Rik	2
green	1600025M17Rik	5
turquoise	1600029I14Rik	1
tan	1600029O10Rik	12
green	1700001C02Rik	5
turquoise	1700001C19Rik	1
brown	1700001F09Rik	3
brown	1700001G17Rik	3
darkorange	1700001J03Rik	26
blue	1700001K19Rik	2
royalblue	1700001K23Rik	20
salmon4	1700001L05Rik	52
brown	1700001L19Rik	3
tan	1700001O22Rik	12
blue	1700001P01Rik	2
darkturquoise	1700003E16Rik	23
darkred	1700003F12Rik	21
blue	1700003H04Rik	2
turquoise	1700003M02Rik	1
turquoise	1700006A11Rik	1
skyblue	1700006E09Rik	28
brown	1700006J14Rik	3
turquoise	1700007B14Rik	1
black	1700007G11Rik	7
red	1700007K09Rik	6
green	1700007K13Rik	5
turquoise	1700008F21Rik	1
blue	1700008H02Rik	2
brown	1700008I05Rik	3
brown	1700008O03Rik	3
turquoise	1700008P02Rik	1
darkolivegreen	1700009J07Rik	33
lightyellow	1700009N14Rik	19
yellow	1700010B08Rik	4
green	1700010D01Rik	5
mediumpurple3	1700010H22Rik	40
brown	1700010I14Rik	3
greenyellow	1700010L04Rik	11
royalblue	1700010L13Rik	20
lightcyan	1700011A15Rik	16
brown	1700011E24Rik	3
greenyellow	1700011H14Rik	11
turquoise	1700011L22Rik	1
pink	1700011M02Rik	8
plum1	1700012B07Rik	38
floralwhite	1700012B09Rik	44
black	1700012P22Rik	7
yellow	1700013D24Rik	4
blue	1700013F07Rik	2
midnightblue	1700013G24Rik	15
turquoise	1700013H16Rik	1
turquoise	1700013J13Rik	1
pink	1700014D04Rik	8
lightgreen	1700015E13Rik	18
lightgreen	1700015F17Rik	18
red	1700016C15Rik	6
blue	1700016D06Rik	2
brown	1700016H13Rik	3
grey60	1700016K19Rik	17
mediumpurple3	1700017B05Rik	40
blue	1700017D01Rik	2
blue	1700017G19Rik	2
yellow	1700017N19Rik	4
darkturquoise	1700018A04Rik	23
tan	1700018A14Rik	12
yellow	1700018B08Rik	4
darkred	1700018B24Rik	21
yellow	1700018C11Rik	4
blue	1700019A02Rik	2
lightgreen	1700019B03Rik	18
turquoise	1700019D03Rik	1
lightcyan	1700019G17Rik	16
turquoise	1700019J19Rik	1
ivory	1700019L03Rik	43
blue	1700019M22Rik	2
grey60	1700019N19Rik	17
blue	1700019O17Rik	2
yellow	1700020A23Rik	4
magenta	1700020D05Rik	9
grey60	1700020I14Rik	17
darkorange	1700020L24Rik	26
turquoise	1700020N01Rik	1
turquoise	1700020N15Rik	1
pink	1700021A07Rik	8
blue	1700021F05Rik	2
green	1700021F07Rik	5
turquoise	1700021K19Rik	1
green	1700021P04Rik	5
tan	1700022A21Rik	12
blue	1700022F17Rik	2
blue	1700022I11Rik	2
turquoise	1700023E05Rik	1
brown	1700023F06Rik	3
turquoise	1700023L04Rik	1
thistle2	1700024B05Rik	50
white	1700024G13Rik	27
turquoise	1700024P04Rik	1
blue	1700024P16Rik	2
salmon	1700025B11Rik	13
yellow	1700025F22Rik	4
tan	1700025G04Rik	12
lightcyan	1700025H01Rik	16
lightgreen	1700025O08Rik	18
brown	1700026D08Rik	3
salmon	1700026J12Rik	13
turquoise	1700026L06Rik	1
red	1700026N04Rik	6
cyan	1700027I07Rik	14
skyblue3	1700027J07Rik	37
plum1	1700028I16Rik	38
blue	1700028J19Rik	2
darkslateblue	1700028K03Rik	48
black	1700028P14Rik	7
thistle2	1700029F12Rik	50
greenyellow	1700029H14Rik	11
tan	1700029I15Rik	12
magenta	1700029J07Rik	9
tan	1700029M20Rik	12
purple	1700029P11Rik	10
green	1700030F18Rik	5
green	1700030J22Rik	5
blue	1700030K09Rik	2
blue	1700031A10Rik	2
brown	1700031F05Rik	3
blue	1700034H15Rik	2
green	1700034I23Rik	5
blue	1700034J04Rik	2
plum2	1700034J05Rik	49
green	1700034O15Rik	5
blue	1700036A12Rik	2
blue	1700037C18Rik	2
yellow	1700037H04Rik	4
darkgrey	1700040D17Rik	24
lightcyan	1700040F15Rik	16
darkolivegreen	1700040F17Rik	33
blue	1700040L02Rik	2
brown	1700041A03Rik	3
red	1700041G16Rik	6
blue	1700042B14Rik	2
darkorange	1700042G07Rik	26
royalblue	1700048O20Rik	20
yellow	1700049G17Rik	4
turquoise	1700049J03Rik	1
turquoise	1700049L16Rik	1
black	1700052I22Rik	7
skyblue3	1700052K11Rik	37
black	1700052N19Rik	7
red	1700054A03Rik	6
brown	1700055D18Rik	3
turquoise	1700055N04Rik	1
blue	1700056E22Rik	2
grey60	1700057D05Rik	17
lightgreen	1700057G04Rik	18
turquoise	1700057H15Rik	1
darkturquoise	1700060C20Rik	23
blue	1700061G19Rik	2
darkred	1700061I17Rik	21
orangered4	1700062G21Rik	39
blue	1700063H04Rik	2
black	1700063K16Rik	7
royalblue	1700065D16Rik	20
pink	1700065J11Rik	8
blue	1700066B19Rik	2
salmon	1700066M21Rik	13
turquoise	1700067K01Rik	1
blue	1700067P10Rik	2
royalblue	1700069B07Rik	20
blue	1700071A11Rik	2
blue	1700072H12Rik	2
green	1700073E17Rik	5
turquoise	1700074P13Rik	1
turquoise	1700080E11Rik	1
turquoise	1700080O16Rik	1
black	1700084K02Rik	7
turquoise	1700084P21Rik	1
greenyellow	1700086D15Rik	11
blue	1700086L19Rik	2
skyblue	1700087M12Rik	28
blue	1700088E04Rik	2
brown	1700092C17Rik	3
turquoise	1700093J21Rik	1
brown	1700093K21Rik	3
purple	1700094D03Rik	10
magenta	1700097I19Rik	9
lightcyan	1700101E01Rik	16
blue	1700101I19Rik	2
blue	1700102P08Rik	2
purple	1700104B16Rik	10
lightgreen	1700106J16Rik	18
tan	1700108F19Rik	12
turquoise	1700109H08Rik	1
salmon	1700111E14Rik	13
darkturquoise	1700112E06Rik	23
tan	1700112H15Rik	12
pink	1700112M01Rik	8
blue	1700113H08Rik	2
turquoise	1700113P08Rik	1
green	1700120K04Rik	5
blue	1700122O11Rik	2
white	1700123I01Rik	27
darkred	1700123M08Rik	21
blue	1700123O20Rik	2
yellow	1700125H20Rik	4
black	1700128E19Rik	7
thistle1	1700128F08Rik	51
magenta	1700129C05Rik	9
green	1810009A15Rik	5
royalblue	1810009J06Rik	20
orangered4	1810010H24Rik	39
turquoise	1810010K12Rik	1
darkorange	1810011H11Rik	26
grey60	1810011O10Rik	17
darkred	1810012K16Rik	21
turquoise	1810013D15Rik	1
blue	1810013L24Rik	2
brown	1810018F18Rik	3
darkmagenta	1810019D21Rik	34
darkturquoise	1810022K09Rik	23
purple	1810024B03Rik	10
red	1810026B05Rik	6
blue	1810026J23Rik	2
green	1810030O07Rik	5
midnightblue	1810032O08Rik	15
red	1810033F07Rik	6
turquoise	1810034E14Rik	1
black	1810037I17Rik	7
green	1810041L15Rik	5
blue	1810043G02Rik	2
blue	1810043H04Rik	2
brown	1810046K07Rik	3
plum1	1810055G02Rik	38
yellow	1810062G17Rik	4
tan	1810064F22Rik	12
darkolivegreen	1810065E05Rik	33
turquoise	2010001E11Rik	1
cyan	2010001K21Rik	14
brown	2010002M12Rik	3
blue	2010003K11Rik	2
red	2010005H15Rik	6
turquoise	2010007H06Rik	1
turquoise	2010012O05Rik	1
turquoise	2010015L04Rik	1
pink	2010106E10Rik	8
midnightblue	2010107E04Rik	15
grey60	2010107G23Rik	17
brown	2010109A12Rik	3
steelblue	2010109I03Rik	30
blue	2010111I01Rik	2
lightcyan	2010204K13Rik	16
red	2010300C02Rik	6
blue	2210010C04Rik	2
blue	2210011C24Rik	2
greenyellow	2210013O21Rik	11
black	2210015D19Rik	7
orangered4	2210016F16Rik	39
grey60	2210016L21Rik	17
blue	2210017I01Rik	2
darkgreen	2210018M11Rik	22
yellow	2210407C18Rik	4
brown	2210408I21Rik	3
blue	2210409E12Rik	2
midnightblue	2210416O15Rik	15
turquoise	2300002M23Rik	1
brown	2300005B03Rik	3
brown	2300009A05Rik	3
mediumpurple3	2310001H17Rik	40
pink	2310001K24Rik	8
salmon	2310002L09Rik	13
greenyellow	2310003H01Rik	11
brown	2310003L06Rik	3
turquoise	2310005E17Rik	1
darkgrey	2310007B03Rik	24
orange	2310007J06Rik	25
lightcyan	2310007L24Rik	16
darkorange	2310009B15Rik	26
brown	2310011J03Rik	3
salmon4	2310014F06Rik	52
green	2310014L17Rik	5
turquoise	2310015B20Rik	1
brown	2310015D24Rik	3
blue	2310016D23Rik	2
darkmagenta	2310016G11Rik	34
tan	2310022A10Rik	12
brown	2310022B05Rik	3
lightcyan	2310030G06Rik	16
purple	2310033P09Rik	10
mediumpurple3	2310035C23Rik	40
blue	2310036O22Rik	2
black	2310039H08Rik	7
orange	2310039L15Rik	25
darkred	2310040G07Rik	21
greenyellow	2310040G24Rik	11
skyblue	2310045N01Rik	28
blue	2310047D07Rik	2
darkgreen	2310047K21Rik	22
grey60	2310047M10Rik	17
purple	2310050C09Rik	10
blue	2310057J18Rik	2
blue	2310057M21Rik	2
red	2310058D17Rik	6
green	2310061I04Rik	5
turquoise	2310061N02Rik	1
orange	2310065F04Rik	25
white	2310067B10Rik	27
purple	2310067E19Rik	10
darkorange	2310069G16Rik	26
black	2310079G19Rik	7
yellow	2310081J21Rik	4
purple	2410002F23Rik	10
blue	2410004B18Rik	2
turquoise	2410004P03Rik	1
royalblue	2410006H16Rik	20
darkred	2410012M07Rik	21
red	2410015M20Rik	6
red	2410016O06Rik	6
saddlebrown	2410018L13Rik	29
brown	2410080I02Rik	3
lightgreen	2410088K16Rik	18
blue	2410089E03Rik	2
blue	2410124H12Rik	2
blue	2410127L17Rik	2
green	2410131K14Rik	5
turquoise	2410137M14Rik	1
blue	2410141K09Rik	2
tan	2500004C02Rik	12
brown	2510002D24Rik	3
brown	2510003E04Rik	3
bisque4	2510009E07Rik	47
brown	2510039O18Rik	3
brown	2600001M11Rik	3
darkgrey	2610001J05Rik	24
turquoise	2610002J02Rik	1
royalblue	2610002M06Rik	20
lightgreen	2610005L07Rik	18
yellow	2610008E11Rik	4
green	2610015P09Rik	5
saddlebrown	2610020H08Rik	29
midnightblue	2610021A01Rik	15
darkturquoise	2610027F03Rik	23
darkred	2610028E06Rik	21
blue	2610028H24Rik	2
blue	2610034B18Rik	2
tan	2610044O15Rik8	12
darkolivegreen	2610201A13Rik	33
blue	2610206C17Rik	2
pink	2610301B20Rik	8
darkgrey	2610303G11Rik	24
lightgreen	2610305D13Rik	18
midnightblue	2610316D01Rik	15
tan	2610318N02Rik	12
blue	2610507B11Rik	2
blue	2610507I01Rik	2
magenta	2610524H06Rik	9
blue	2610528J11Rik	2
thistle2	2700029M09Rik	50
sienna3	2700046A07Rik	35
turquoise	2700046G09Rik	1
yellow	2700049A03Rik	4
orangered4	2700060E02Rik	39
midnightblue	2700062C07Rik	15
brown	2700081O15Rik	3
blue	2700089E24Rik	2
brown	2700097O09Rik	3
brown	2810004N23Rik	3
black	2810006K23Rik	7
blue	2810007J24Rik	2
blue	2810021J22Rik	2
darkred	2810025M15Rik	21
midnightblue	2810032G03Rik	15
blue	2810038L03Rik	2
darkolivegreen	2810039B14Rik	33
turquoise	2810040C05Rik	1
red	2810043G22Rik	6
lightcyan	2810043O03Rik	16
turquoise	2810403A07Rik	1
green	2810403G07Rik	5
blue	2810407A14Rik	2
thistle2	2810408A11Rik	50
salmon	2810416G20Rik	13
brown	2810417H13Rik	3
orange	2810428I15Rik	25
blue	2810433D01Rik	2
paleturquoise	2810459M11Rik	31
turquoise	2900005J15Rik	1
lightyellow	2900011O08Rik	19
darkred	2900026A02Rik	21
brown	2900041M22Rik	3
lightcyan	2900052N01Rik	16
green	2900060B14Rik	5
black	2900060N12Rik	7
salmon	2900092C05Rik	13
green	2900092D14Rik	5
lightcyan	2900093K20Rik	16
midnightblue	2900097C17Rik	15
pink	3000002C10Rik	8
blue	3010003L21Rik	2
blue	3010026O09Rik	2
black	3010033K07Rik	7
salmon4	3010065I17Rik	52
red	3010085J16Rik	6
blue	3100002H09Rik	2
darkslateblue	3110001I22Rik	48
turquoise	3110002H16Rik	1
darkred	3110006O06Rik	21
black	3110009E18Rik	7
turquoise	3110021A11Rik	1
floralwhite	3110021N24Rik	44
black	3110026E04Rik	7
yellow	3110033I20Rik	4
blue	3110035E14Rik	2
turquoise	3110040M04Rik	1
brown	3110040N11Rik	3
orange	3110043O21Rik	25
lightcyan1	3110052M02Rik	42
magenta	3110057O12Rik	9
royalblue	3110062M04Rik	20
blue	3110070M22Rik	2
turquoise	3110073H01Rik	1
darkmagenta	3110079O15Rik	34
bisque4	3110082I17Rik	47
black	3110082J24Rik	7
green	3110099E03Rik	5
blue	3110099E13Rik	2
turquoise	3300002A11Rik	1
plum1	3300002I08Rik	38
cyan	3300002P13Rik	14
green	3300005D01Rik	5
darkmagenta	3425401B19Rik	34
lightgreen	3426406K10Rik	18
magenta	3632451O06Rik	9
brown	3830403N18Rik	3
turquoise	3830406C13Rik	1
greenyellow	3830408C21Rik	11
magenta	3830417A13Rik	9
royalblue	3930402G23Rik	20
brown	4022404D01Rik	3
blue	4430402I18Rik	2
turquoise	4631405J19Rik	1
cyan	4631423B10Rik	14
brown	4632404H12Rik	3
turquoise	4632408I12Rik	1
blue	4632415L05Rik	2
blue	4632417D23Rik	2
turquoise	4632419I22Rik	1
midnightblue	4632428N05Rik	15
blue	4632433K11Rik	2
pink	4732414G09Rik	8
turquoise	4732419C18Rik	1
brown	4732440D04Rik	3
turquoise	4732456N10Rik	1
brown	4732465J04Rik	3
turquoise	4732479B03Rik	1
brown	4732490P12	3
blue	4732491K20Rik	2
darkred	4732494K09Rik	21
turquoise	4733401D07Rik	1
salmon4	4832428G11Rik	52
turquoise	4833403I15Rik	1
brown	4833408A19Rik	3
black	4833408D11Rik	7
purple	4833413E03Rik	10
blue	4833414E09Rik	2
darkgreen	4833415N18Rik	22
tan	4833420G11Rik	12
darkgrey	4833420G17Rik	24
green	4833423E24Rik	5
brown	4833427G06Rik	3
turquoise	4833432P19Rik	1
plum2	4833439C01Rik	49
pink	4833439L19Rik	8
blue	4833444G19Rik	2
purple	4833447P13Rik	10
tan	4921501E09Rik	12
pink	4921504E06Rik	8
tan	4921507L20Rik	12
turquoise	4921507P07Rik	1
magenta	4921508D12Rik	9
turquoise	4921508M14Rik	1
salmon	4921509C19Rik	13
yellow	4921511C20Rik	4
pink	4921511E18Rik	8
turquoise	4921511H03Rik	1
turquoise	4921513H07Rik	1
green	4921513I03Rik	5
blue	4921517D22Rik	2
tan	4921519B16Rik	12
blue	4921522P10Rik	2
blue	4921524J17Rik	2
darkorange2	4921524L21Rik	45
red	4921525O09Rik	6
brown	4921530L21Rik	3
turquoise	4921531P07Rik	1
lightcyan	4921534K20Rik	16
blue	4921536K21Rik	2
blue	4921539E11Rik	2
black	4922502B01Rik	7
magenta	4922502D21Rik	9
darkturquoise	4922505F16Rik	23
turquoise	4930402F06Rik	1
turquoise	4930402H24Rik	1
blue	4930402K13Rik	2
orangered4	4930404H11Rik	39
tan	4930407I10Rik	12
blue	4930412C18Rik	2
green	4930412L05Rik	5
cyan	4930412M03Rik	14
brown	4930412O13Rik	3
yellow	4930414F18Rik	4
lightgreen	4930415O20Rik	18
skyblue	4930417O22Rik	28
darkgrey	4930419B13Rik	24
blue	4930420G21Rik	2
black	4930426L09Rik	7
brown	4930427A07Rik	3
turquoise	4930429B21Rik	1
brown	4930430A15Rik	3
turquoise	4930430F08Rik	1
red	4930430O22Rik	6
blue	4930431F10Rik	2
greenyellow	4930431F12Rik	11
blue	4930432E11Rik	2
turquoise	4930432F04Rik	1
midnightblue	4930432K21Rik	15
red	4930432M17Rik	6
bisque4	4930433I11Rik	47
blue	4930433N12Rik	2
floralwhite	4930435E12Rik	44
darkturquoise	4930435H24Rik	23
darkgrey	4930438A08Rik	24
lightcyan	4930442G15Rik	16
plum2	4930444P10Rik	49
blue	4930447A16Rik	2
blue	4930447C04Rik	2
brown	4930447F04Rik	3
turquoise	4930447K03Rik	1
brown	4930448F12Rik	3
red	4930448I06Rik	6
paleturquoise	4930448K20Rik	31
yellow	4930448N21Rik	4
lightyellow	4930449A18Rik	19
green	4930449E01Rik	5
lightgreen	4930449I04Rik	18
pink	4930449I24Rik	8
tan	4930451E10Rik	12
brown	4930451G09Rik	3
cyan	4930451I11Rik	14
greenyellow	4930452B06Rik	11
bisque4	4930453L07Rik	47
yellow	4930453N24Rik	4
salmon	4930455F16Rik	13
lightgreen	4930456L15Rik	18
brown	4930458A03Rik	3
grey60	4930459I23Rik	17
blue	4930463O16Rik	2
turquoise	4930465K10Rik	1
brown	4930466F19Rik	3
darkturquoise	4930466O16Rik	23
blue	4930468A15Rik	2
turquoise	4930469G21Rik	1
turquoise	4930470H14Rik	1
lightcyan	4930470P17Rik	16
turquoise	4930471G03Rik	1
plum2	4930474M22Rik	49
turquoise	4930474N05Rik	1
blue	4930483J18Rik	2
greenyellow	4930486L24Rik	11
lightgreen	4930488N24Rik	18
turquoise	4930502E18Rik	1
black	4930503B20Rik	7
magenta	4930503L19Rik	9
green	4930504O13Rik	5
green	4930505A04Rik	5
blue	4930506M07Rik	2
tan	4930509E16Rik	12
darkgrey	4930509N14Rik	24
turquoise	4930510E17Rik	1
brown	4930512B01Rik	3
cyan	4930513O06Rik	14
bisque4	4930515B02Rik	47
floralwhite	4930515G01Rik	44
magenta	4930515G13Rik	9
floralwhite	4930517O19Rik	44
turquoise	4930518I15Rik	1
green	4930519F16Rik	5
lightcyan	4930519G04Rik	16
brown	4930519H02Rik	3
red	4930519L02Rik	6
yellow	4930519P11Rik	4
brown	4930522H14Rik	3
brown	4930522N08Rik	3
black	4930523C07Rik	7
darkmagenta	4930524B15Rik	34
blue	4930524N10Rik	2
blue	4930524O08Rik	2
grey60	4930526I15Rik	17
green	4930528H21Rik	5
purple	4930532C19Rik	10
blue	4930533I22Rik	2
cyan	4930533L02Rik	14
darkred	4930535E06Rik	21
royalblue	4930538K18Rik	20
brown4	4930539E08Rik	46
green	4930539J05Rik	5
yellow	4930540G01Rik	4
turquoise	4930541J03Rik	1
pink	4930541O19Rik	8
lightyellow	4930542C12Rik	19
yellow	4930544G11Rik	4
darkturquoise	4930544L04Rik	23
brown	4930544M13Rik	3
royalblue	4930545L08Rik	20
tan	4930546C10Rik	12
blue	4930546K05Rik	2
yellow	4930547M16Rik	4
turquoise	4930548F15Rik	1
turquoise	4930548G14Rik	1
blue	4930548H24Rik	2
cyan	4930549C01Rik	14
blue	4930549D04Rik	2
brown	4930550C14Rik	3
red	4930550G17Rik	6
blue	4930550L24Rik	2
green	4930552P12Rik	5
salmon	4930553J12Rik	13
darkturquoise	4930555F03Rik	23
purple	4930555G01Rik	10
royalblue	4930556L07Rik	20
green	4930557A04Rik	5
orange	4930557F10Rik	25
blue	4930558G23Rik	2
red	4930560A13Rik	6
bisque4	4930562A09Rik	47
turquoise	4930562C15Rik	1
brown	4930562F07Rik	3
brown	4930563D23Rik	3
turquoise	4930563E18Rik	1
grey60	4930563E22Rik	17
tan	4930563I02Rik	12
brown	4930564B18Rik	3
magenta	4930564C03Rik	9
darkslateblue	4930564D02Rik	48
yellow	4930565D16Rik	4
blue	4930566N20Rik	2
blue	4930568D16Rik	2
blue	4930568M16Rik	2
blue	4930569F06Rik	2
darkgrey	4930570N19Rik	24
ivory	4930571K11Rik	43
blue	4930578C19Rik	2
turquoise	4930578G10Rik	1
darkred	4930578I06Rik	21
turquoise	4930578I07Rik	1
red	4930579C12Rik	6
bisque4	4930579E07Rik	47
red	4930579F01Rik	6
blue	4930579G24Rik	2
green	4930579K19Rik	5
steelblue	4930583I09Rik	30
cyan	4930583K01Rik	14
turquoise	4930584F24Rik	1
floralwhite	4930588G17Rik	44
brown	4930588J15Rik	3
salmon	4930588K23Rik	13
skyblue	4930589L23Rik	28
blue	4930590J08Rik	2
yellow	4930591A17Rik	4
darkturquoise	4930592A05Rik	23
brown	4930592C13Rik	3
black	4930594M17Rik	7
saddlebrown	4930594M22Rik	29
black	4930595M18Rik	7
brown	4930596D02Rik	3
lightcyan	4930597A21Rik	16
lightyellow	4930597L12Rik	19
green	4930597O21Rik	5
greenyellow	4930599N23Rik	11
black	4931400O07Rik	7
brown	4931403F16Rik	3
green	4931403M11Rik	5
yellow	4931406B18Rik	4
brown	4931406C07Rik	3
brown	4931406H21Rik	3
yellow	4931406P16Rik	4
red	4931408C20Rik	6
green	4931409K22Rik	5
blue	4931412M21	2
blue	4931414P19Rik	2
turquoise	4931417E11Rik	1
yellow	4931419H13Rik	4
blue	4931422A03Rik	2
turquoise	4931423N10Rik	1
turquoise	4931428F04Rik	1
black	4931428L18Rik	7
green	4931429I11Rik	5
blue	4931429L15Rik	2
turquoise	4931429P17Rik	1
turquoise	4931431C16Rik	1
salmon	4931431F19Rik	13
ivory	4931432E15Rik	43
skyblue3	4931440F15Rik	37
brown	4932407I05	3
purple	4932411E22Rik	10
salmon	4932411K12Rik	13
turquoise	4932411N23Rik	1
blue	4932414N04Rik	2
darkturquoise	4932416K20Rik	23
lightcyan1	4932418E24Rik	42
tan	4932422M17Rik	12
lightgreen	4932429F07Rik	18
purple	4932429P05Rik	10
pink	4932430N15Rik	8
brown	4932431P20Rik	3
turquoise	4932435O22Rik	1
turquoise	4932438A13Rik	1
greenyellow	4932438H23Rik	11
lightcyan	4932442L08Rik	16
green	4932443I19	5
black	4932443I19Rik	7
blue	4933400A11Rik	2
red	4933400C23Rik	6
blue	4933401B06Rik	2
black	4933401J08Rik	7
magenta	4933401L05Rik	9
plum1	4933402D24Rik	38
blue	4933402E13Rik	2
bisque4	4933402J07Rik	47
salmon	4933402J10Rik	13
black	4933402N03Rik	7
turquoise	4933402P03Rik	1
magenta	4933403O08Rik	9
blue	4933404G15Rik	2
darkred	4933405L10Rik	21
green	4933405O20Rik	5
darkgrey	4933406B17Rik	24
blue	4933406G16Rik	2
blue	4933406J08Rik	2
yellow	4933406M09Rik	4
blue	4933407E24Rik	2
yellow	4933407L21Rik	4
red	4933408J17Rik	6
brown	4933409G03Rik	3
lightgreen	4933409K07Rik	18
darkturquoise	4933411G11Rik	23
green	4933411K16Rik	5
black	4933411O13Rik	7
blue	4933412E24Rik	2
blue	4933413A10Rik	2
cyan	4933413G19Rik	14
blue	4933413J09Rik	2
green	4933414I15Rik	5
darkolivegreen	4933415F23Rik	33
black	4933416E14Rik	7
black	4933416I08Rik	7
darkturquoise	4933417A18Rik	23
red	4933424G06Rik	6
magenta	4933425L06Rik	9
lightcyan	4933427D06Rik	16
red	4933427D14Rik	6
yellow	4933427E11Rik	4
turquoise	4933427E13Rik	1
salmon4	4933427G17Rik	52
black	4933427G23Rik	7
blue	4933427I22Rik	2
white	4933428M09Rik	27
cyan	4933430I17Rik	14
tan	4933430N04Rik	12
brown	4933431E20Rik	3
darkred	4933433C11Rik	21
floralwhite	4933434C23Rik	44
red	4933434E20Rik	6
salmon	4933434M16Rik	13
turquoise	4933435E02Rik	1
yellow	4933435G04Rik	4
turquoise	4933436I01Rik	1
red	4933436N17Rik	6
royalblue	4933440M02Rik	20
royalblue	5031410I06Rik	20
lightsteelblue1	5031414D18Rik	41
turquoise	5031425E22Rik	1
brown	5031434C07Rik	3
tan	5031434O11Rik	12
royalblue	5031438A03Rik	20
pink	5031439G07Rik	8
yellowgreen	5033417F24Rik	36
blue	5033430I15Rik	2
orangered4	5230400M03Rik	39
black	5330403J18Rik	7
brown	5330403O16Rik	3
blue	5330416C01Rik	2
magenta	5330417C22Rik	9
red	5330421K23Rik	6
yellow	5330426L24Rik	4
blue	5330426P16Rik	2
cyan	5330427O13Rik	14
salmon	5330431K02Rik	13
black	5330432E05Rik	7
blue	5330438D12Rik	2
yellow	5330438I03Rik	4
turquoise	5330439B14Rik	1
salmon	5430401F13Rik	13
green	5430402E10Rik	5
white	5430411C19Rik	27
lightcyan	5430414B19Rik	16
magenta	5430416O09Rik	9
turquoise	5430417C01Rik	1
darkgreen	5430419D17Rik	22
turquoise	5430427O19Rik	1
turquoise	5430435G22Rik	1
darkturquoise	5430440L12Rik	23
pink	5530400C07Rik	8
turquoise	5530401A14Rik	1
greenyellow	5530601H04Rik	11
brown	5730403I07Rik	3
brown	5730405G21Rik	3
royalblue	5730409E04Rik	20
grey60	5730416O20Rik	17
brown	5730420D15Rik	3
royalblue	5730422E09Rik	20
turquoise	5730437O09Rik	1
yellowgreen	5730446D14Rik	36
brown	5730455P16Rik	3
red	5730508B09Rik	6
plum2	5730522E02Rik	49
turquoise	5730559C18Rik	1
turquoise	5730585A16Rik	1
magenta	5730596B20Rik	9
royalblue	5830411J07Rik	20
darkgreen	5830415F09Rik	22
bisque4	5830416P10Rik	47
bisque4	5830419E12Rik	47
red	5830427D03Rik	6
brown4	5830428H23Rik	46
brown	5830428M24Rik	3
salmon	5830454E08Rik	13
magenta	5830469L07Rik	9
lightgreen	5830472F04Rik	18
pink	5830477G23Rik	8
salmon	5930403N24Rik	13
darkmagenta	5930412G12Rik	34
pink	5930422O12Rik	8
royalblue	5930437A14Rik	20
lightsteelblue1	6030408B16Rik	41
purple	6030419C18Rik	10
blue	6030445D17Rik	2
white	6030452D12Rik	27
green	6030458C11Rik	5
lightcyan1	6030466F02Rik	42
green	6030468B19Rik	5
orange	6030470M02Rik	25
darkred	6030498E09Rik	21
brown	6030499A19Rik	3
blue	6330403A02Rik	2
yellow	6330403K07Rik	4
blue	6330405D24Rik	2
grey60	6330408A02Rik	17
blue	6330410L21Rik	2
green	6330416G13Rik	5
turquoise	6330419J24Rik	1
darkgrey	6330437B10Rik	24
magenta	6330444E15Rik	9
blue	6330513E13	2
brown	6330549D23Rik	3
turquoise	6330556J12Rik	1
grey60	6330563N19Rik	17
brown	6330581N18Rik	3
darkred	6430500J09Rik	21
purple	6430502G17Rik	10
